source,question,answer
The Science of De-Extinction,What time does The Science of De-Extinction talk start?,The Science of De-Extinction talk starts at 12:00 and runs until 12:30.
The Science of De-Extinction,Who is speaking at The Science of De-Extinction session?,The session features the founder of the world's first de-extinction company.
The Science of De-Extinction,What topics will be covered in the de-extinction talk at London Tech Week 2026?,"The talk will cover breakthroughs in gene editing, conservation genomics, and computational biology, focusing on reviving lost species and developing tools for planetary-scale biodiversity and ecosystem restoration."
"From Manchester With Love: Supporting Innovation, Investment and Growth",What time does the Manchester session start and which stage is it on?,The session runs from 15:00 to 15:30 and takes place on the Founders Stage.
"From Manchester With Love: Supporting Innovation, Investment and Growth",Which companies are mentioned as examples of Manchester's tech success in this session?,"The session features Matillion, described as a Manchester-born global data pioneer, and ARM, which has chosen Manchester as its UK growth location."
"From Manchester With Love: Supporting Innovation, Investment and Growth",What does the session mean by 'good growth' in the context of Manchester's tech sector?,"The session uses 'good growth' to describe growth that is long-term and sustainable rather than focused on short-term gains. It explores how Manchester's model — rooted in place, powered by devolution, and supported by strategic planning, joined-up skills pipelines, and dialogue between industry and civic leadership — has created durable success, particularly in areas like AI and cybersecurity."
Panel: Making Generative AI Work in Modern Marketing,What time does the generative AI marketing panel start?,The panel 'Making Generative AI Work in Modern Marketing' starts at 09:35 and runs until 10:05.
Panel: Making Generative AI Work in Modern Marketing,What is 'AI Slop' and why is it being discussed at this panel?,"AI Slop is a term that has emerged alongside the rise of text-to-image and text-to-video generative AI tools. Because these tools make it incredibly fast to go from idea to execution, there is concern about a flood of low-quality or misaligned content. The panel addresses how marketing leaders can avoid this pitfall and use generative AI effectively to deliver high-quality, impactful campaigns."
Panel: Making Generative AI Work in Modern Marketing,What topics will be covered in the Making Generative AI Work in Modern Marketing session?,"The session will cover several topics including strategies to avoid inefficiencies and misaligned outputs when scaling generative AI for content creation and customer engagement, which tools work best and how creative teams have integrated them into their workflows, and best practices for training generative AI models to align with brand voice, messaging, and business goals."
Chairperson's Opening Remarks,What time do the Chairperson's Opening Remarks start?,The Chairperson's Opening Remarks are scheduled to begin at 09:30 and run until 09:35.
Chairperson's Opening Remarks,Which stage are the Chairperson's Opening Remarks being held on?,The Chairperson's Opening Remarks will take place on the AI Arena stage.
Chairperson's Opening Remarks,What theme is associated with the Chairperson's Opening Remarks session?,The Chairperson's Opening Remarks fall under the theme 'Enterprise Reinvented'.
How Agentic Systems are Rewriting the Banking Playbook,What time does the session on agentic systems in banking start?,The session 'How Agentic Systems are Rewriting the Banking Playbook' starts at 14:05 and runs until 14:25 on the AI Arena stage.
How Agentic Systems are Rewriting the Banking Playbook,What challenges in scaling AI does this talk address?,"The talk addresses challenges such as fragmented architectures, vendor lock-in, inconsistent governance, and the difficulty enterprises face in moving AI pilots and agents into secure production environments, particularly in regulated sectors like Banking and Financial Services."
How Agentic Systems are Rewriting the Banking Playbook,What product is being introduced during this session?,"The session introduces the OutSystems Agentic Systems Platform, described as a unified, open operating system for building, orchestrating, and governing AI across mission-critical agents, apps, and workflows."
The Age of the New Space Entrepreneur,What time does The Age of the New Space Entrepreneur session take place?,The session takes place from 12:30 to 13:00.
The Age of the New Space Entrepreneur,What topics will be covered in the New Space Entrepreneur talk?,"The talk will cover commercialising space through launch systems, satellite networks, in-orbit research and biomanufacturing. It will also explore how venture capital, public funding and sovereign initiatives are fuelling NewSpace companies across the UK and Europe, and how the space business is shifting from exploration to commercial platforms covering areas like materials, communications, energy and microgravity-enabled research."
The Age of the New Space Entrepreneur,Which stage and theme is The Age of the New Space Entrepreneur session part of?,The session is hosted on the Deep Tech Stage and falls under the SpaceTech & Robotics theme.
UK-Ukraine Investment Accelerator Pitches,What time does the UK-Ukraine Investment Accelerator Pitches session start?,The session runs from 16:00 to 17:00 on the Ignition Stage.
UK-Ukraine Investment Accelerator Pitches,How many Ukrainian startups will be pitching at the TechBridge event?,10 Ukrainian startups will be pitching their companies at the UK-Ukraine Investment Accelerator Pitches session.
UK-Ukraine Investment Accelerator Pitches,What is the purpose of the UK-Ukraine TechBridge pitching session at London Tech Week 2026?,"The session gives investors and corporates early access to exceptional Ukrainian founders, offering them the chance to partner with innovative startups bringing fresh technology and new ideas to the UK market. It is part of the broader UK-Ukraine TechBridge initiative, which highlights the resilience and innovation of Ukrainian tech."
Workshop Hosted by Next Tech Girls,What time does the Next Tech Girls workshop start?,The workshop hosted by Next Tech Girls starts at 14:00 and runs until 14:45.
Workshop Hosted by Next Tech Girls,Where is the Next Tech Girls workshop being held?,"The workshop is being held at the EQL:Lounge, which is hosted by Tech She Can."
Workshop Hosted by Next Tech Girls,What theme does the Next Tech Girls workshop fall under?,The Next Tech Girls workshop falls under the theme of Celebrating Female Leadership.
"How a New Generation of ClimateTech Founders Are Building Capital-Efficient, Fast-Moving Companies",What time does the ClimateTech founders session start?,The session runs from 12:10 to 12:40.
"How a New Generation of ClimateTech Founders Are Building Capital-Efficient, Fast-Moving Companies",Which stage is the ClimateTech founders talk being held on?,It is being held on the Ignition Stage.
"How a New Generation of ClimateTech Founders Are Building Capital-Efficient, Fast-Moving Companies",What topics will be covered in the session about new generation ClimateTech founders?,"The session will cover implementing AI for climate modelling, optimisation, deployment and verification, as well as the shift from infrastructure to software solutions in the ClimateTech space."
Networking Break,When is the networking break on the Ignition Stage?,The networking break on the Ignition Stage takes place from 13:00 to 14:00.
Networking Break,How long does the networking break last?,"The networking break lasts for one hour, running from 13:00 to 14:00."
Networking Break,Where is the networking break being held?,The networking break is being held at the Ignition Stage.
Why Purpose Still Powers Performance,What time does the Purpose Still Powers Performance session start?,The session starts at 10:00 and runs until 10:30.
Why Purpose Still Powers Performance,Which stage is the 'Why Purpose Still Powers Performance' talk being held on?,It is being held on the Founders Stage.
Why Purpose Still Powers Performance,What topics will be covered in the Why Purpose Still Powers Performance session?,"The session will explore how a strong sense of purpose drives clarity, resilience, and performance for founders and their teams. It will cover how founders embed mission into culture to sustain high performance through scale, and what real-world tactics entrepreneurs can use to embed purpose into every process, ritual, and decision as they scale."
Is The Value of Venture Capital Changing?,What time does the session on venture capital start?,The session 'Is The Value of Venture Capital Changing?' takes place from 16:30 to 17:00.
Is The Value of Venture Capital Changing?,What stage and theme is the VC session part of?,The session is hosted on the Founders Stage and falls under the Capital & Growth theme.
Is The Value of Venture Capital Changing?,What topics will be covered in the venture capital session?,"The session will explore how founders' expectations of VCs are shifting, including the growing importance of capital access and customer introductions, whether traditional value-adds are losing relevance, and why founders and VCs have differing views on board effectiveness and governance."
Tech Nation's EdTech Pitch Block,What time does the Tech Nation EdTech Pitch Block start?,The Tech Nation EdTech Pitch Block starts at 14:00 and runs until 14:30.
Tech Nation's EdTech Pitch Block,Which stage is hosting the EdTech Pitch Block?,The EdTech Pitch Block is being hosted on the Ignition Stage.
Tech Nation's EdTech Pitch Block,What theme does the Tech Nation EdTech Pitch Block fall under?,The Tech Nation EdTech Pitch Block falls under the 'Tech for Humanity' theme.
Chairperson's Opening Remarks,What time do the Chairperson's Opening Remarks start?,The Chairperson's Opening Remarks start at 14:00 and run until 14:05.
Chairperson's Opening Remarks,Which stage are the Chairperson's Opening Remarks taking place on?,The Chairperson's Opening Remarks are taking place on the AI Arena stage.
Chairperson's Opening Remarks,What theme is associated with the Chairperson's Opening Remarks session?,The Chairperson's Opening Remarks session falls under the Applied AI theme.
The Path to a Fully Autonomous AI-Bank,What time does the AI-Bank session start and which stage is it on?,The session runs from 10:35 to 11:10 and takes place on the Transformation Stage.
The Path to a Fully Autonomous AI-Bank,What are some of the key questions this session will explore about fully autonomous AI-Banks?,"The session will explore what a fully autonomous AI-Bank would mean for clients, customers, and employees; the biggest technological and organisational challenges in building one; how an AI-Bank can balance automation with transparency, trust, and ethical decision-making; and what the rise of AI-Banks means for the workforce and how financial institutions can prepare employees for this transformation."
The Path to a Fully Autonomous AI-Bank,Is the concept of a fully autonomous AI-Bank considered achievable in the near term according to this session's description?,"According to the session description, while many challenger banks and traditional financial institutions are adopting AI for an increasing number of functions, the vision of a fully autonomous AI-Bank still feels far away for many in the industry."
"Keynote Address by The Rt Hon Liz Kendall MP, Secretary of State for Science, Innovation & Technology, UK Government",Who is giving the keynote address at the AI Arena around lunchtime?,"The keynote address is being given by The Rt Hon Liz Kendall MP, who is the Secretary of State for Science, Innovation & Technology in the UK Government."
"Keynote Address by The Rt Hon Liz Kendall MP, Secretary of State for Science, Innovation & Technology, UK Government",What time does Liz Kendall's keynote start and how long does it run?,"Liz Kendall's keynote address runs from 12:50 to 13:05, making it a 15-minute session."
"Keynote Address by The Rt Hon Liz Kendall MP, Secretary of State for Science, Innovation & Technology, UK Government",Which stage and theme is the Secretary of State's keynote associated with?,The keynote by Liz Kendall MP is taking place on the AI Arena stage and falls under the Applied AI theme.
The Untapped Talent Wave Powering Global Growth,What time does the session on untapped talent start?,The session starts at 15:30 and runs until 16:00.
The Untapped Talent Wave Powering Global Growth,Which stage is hosting the session about underrepresented founders?,The session is being held on the Founders Stage.
The Untapped Talent Wave Powering Global Growth,What topics will be covered in The Untapped Talent Wave session?,"The session will examine the most significant obstacles facing underrepresented founders today, explore how capital, networks and policy can unlock scale, and identify the commitments needed to build a more inclusive innovation economy."
When DEI is Dead,What time does the 'When DEI is Dead' session start?,The session starts at 14:00 and runs until 14:45.
When DEI is Dead,What kind of session is 'When DEI is Dead' - is it a talk or something more hands-on?,"It's an interactive workshop, so attendees can expect a more hands-on, participatory experience rather than a straightforward talk."
When DEI is Dead,What will I actually learn from attending the 'When DEI is Dead' workshop?,"The workshop covers three key areas: how to identify opportunities for fairer change in your workplace, how to evaluate what's working and what isn't with your current strategies, and how to build coalitions for change across all levels, from executives to engineers."
Chairperson's Closing Remarks,What time are the Chairperson's Closing Remarks scheduled?,The Chairperson's Closing Remarks are scheduled from 17:25 to 17:30.
Chairperson's Closing Remarks,Which stage will the Chairperson's Closing Remarks take place on?,The Chairperson's Closing Remarks will take place on the AI Arena stage.
Chairperson's Closing Remarks,What theme is the Chairperson's Closing Remarks associated with?,The Chairperson's Closing Remarks are associated with the Applied AI theme.
Networking Break,When is the networking break at the Founders Stage?,The networking break at the Founders Stage takes place from 13:00 to 14:00.
Networking Break,How long is the networking break scheduled for?,"The networking break is scheduled for one hour, running from 13:00 to 14:00."
Networking Break,Where is the networking break being held?,The networking break is being held at the Founders Stage.
Seamless Payment as the Key to Customer Loyalty,What time does the seamless payment session start?,The session runs from 16:40 to 17:00.
Seamless Payment as the Key to Customer Loyalty,Which stage is the payment and customer loyalty talk being held on?,It will be held on the Transformation Stage.
Seamless Payment as the Key to Customer Loyalty,What kinds of payment methods will be discussed in this session?,"The session will explore tailored payment methods such as instalments, subscriptions, and one-click payments, looking at how customer data and AI can be used to offer these options to meet diverse customer needs."
In conversation with Anne Boden: Betting on Britain,What time does the Anne Boden session start?,The session with Anne Boden starts at 12:00 and runs until 12:30.
In conversation with Anne Boden: Betting on Britain,Which stage is the 'Betting on Britain' talk being held on?,The 'Betting on Britain' conversation with Anne Boden is being held on the Founders Stage.
In conversation with Anne Boden: Betting on Britain,What theme does the Anne Boden session fall under?,The session 'In conversation with Anne Boden: Betting on Britain' falls under the Capital & Growth theme.
Networking Break,When is the networking break taking place?,The networking break is scheduled from 13:00 to 14:00.
Networking Break,Which stage is hosting the networking break?,The networking break is being held at the AI Arena stage.
Networking Break,What theme is the networking break associated with?,The networking break falls under the 'Enterprise Reinvented' theme.
Riding The Entrepreneurial Rodeo,What time does the Riding The Entrepreneurial Rodeo session start?,The session runs from 14:30 to 15:00.
